year_month,variable,value
2019-03,inline skating,45
2019-04,inline skating,45
2019-05,inline skating,28
2019-06,inline skating,24
2019-07,inline skating,32
2019-08,inline skating,34
2019-09,inline skating,39
2019-10,inline skating,23
2019-11,inline skating,40
2019-12,inline skating,23
2020-01,inline skating,24
2019-03,jewelry making,72
2019-04,jewelry making,63
2019-05,jewelry making,69
2019-06,jewelry making,77
2019-07,jewelry making,68
2019-08,jewelry making,75
2019-09,jewelry making,78
2019-10,jewelry making,67
2019-11,jewelry making,79
2019-12,jewelry making,86
2020-01,jewelry making,78
2019-03,jigsaw puzzles,48
2019-04,jigsaw puzzles,49
2019-05,jigsaw puzzles,46
2019-06,jigsaw puzzles,34
2019-07,jigsaw puzzles,40
2019-08,jigsaw puzzles,42
2019-09,jigsaw puzzles,45
2019-10,jigsaw puzzles,47
2019-11,jigsaw puzzles,48
2019-12,jigsaw puzzles,62
