variable,group,value
do it yourself,2019-08,73.33333333333333
do it yourself,2019-09,73.33333333333333
do it yourself,2019-10,86.66666666666667
do it yourself,2019-11,80.0
do it yourself,2019-12,66.66666666666667
do it yourself,2020-01,73.33333333333333
do it yourself,2020-02,73.33333333333333
do it yourself,2020-03,80.0
do it yourself,2020-04,100.0
do it yourself,2020-05,100.0
do it yourself,2020-06,86.66666666666667
do it yourself,2020-07,80.0
do it yourself,2020-08,80.0
do it yourself,2020-09,73.33333333333333
do it yourself,2020-10,80.0
do it yourself,2020-11,66.66666666666667
do it yourself,2020-12,66.66666666666667
do it yourself,2021-01,66.66666666666667
do it yourself,2021-02,73.33333333333333
do it yourself,2021-03,80.0
do it yourself,2021-04,73.33333333333333
do it yourself,2021-05,80.0
do it yourself,2021-06,66.66666666666667
do it yourself,2021-07,66.66666666666667
do it yourself,2021-08,66.66666666666667
do it yourself,2021-09,66.66666666666667
do it yourself,2021-10,80.0
binge-watching,2019-01,19.0
binge-watching,2019-02,30.0
binge-watching,2019-03,19.0
binge-watching,2019-04,0.0
binge-watching,2019-05,10.0
binge-watching,2019-06,30.0
binge-watching,2019-07,0.0
binge-watching,2019-08,10.0
binge-watching,2019-09,28.0
binge-watching,2019-10,18.0
binge-watching,2019-11,9.0
binge-watching,2019-12,9.0
binge-watching,2020-01,43.0
binge-watching,2020-02,0.0
binge-watching,2020-03,31.0
binge-watching,2020-04,100.0
binge-watching,2020-05,31.0
binge-watching,2020-06,16.0
binge-watching,2020-07,25.0
binge-watching,2020-08,58.0
binge-watching,2020-09,16.0
binge-watching,2020-10,36.0
binge-watching,2020-11,36.0
binge-watching,2020-12,55.0
binge-watching,2021-01,71.0
binge-watching,2021-02,20.0
binge-watching,2021-03,27.0
binge-watching,2021-04,57.0
binge-watching,2021-05,47.0
binge-watching,2021-06,19.0
binge-watching,2021-07,19.0
binge-watching,2021-08,38.0
binge-watching,2021-09,10.0
binge-watching,2021-10,0.0
jewelry making,2019-01,81.81818181818181
jewelry making,2019-02,75.0
jewelry making,2019-03,68.18181818181819
jewelry making,2019-04,54.54545454545455
jewelry making,2019-05,70.45454545454545
jewelry making,2019-06,84.0909090909091
jewelry making,2019-07,77.27272727272727
jewelry making,2019-08,77.27272727272727
jewelry making,2019-09,81.81818181818181
jewelry making,2019-10,72.72727272727273
jewelry making,2019-11,79.54545454545455
jewelry making,2019-12,95.45454545454545
jewelry making,2020-01,86.36363636363636
jewelry making,2020-02,81.81818181818181
jewelry making,2020-03,65.9090909090909
jewelry making,2020-04,77.27272727272727
jewelry making,2020-05,81.81818181818181
jewelry making,2020-06,75.0
jewelry making,2020-07,100.0
jewelry making,2020-08,95.45454545454545
jewelry making,2020-09,68.18181818181819
jewelry making,2020-10,84.0909090909091
jewelry making,2020-11,86.36363636363636
jewelry making,2020-12,97.72727272727273
jewelry making,2021-01,84.0909090909091
jewelry making,2021-02,90.9090909090909
jewelry making,2021-03,77.27272727272727
jewelry making,2021-04,88.63636363636364
jewelry making,2021-05,75.0
jewelry making,2021-06,81.81818181818181
jewelry making,2021-07,88.63636363636364
jewelry making,2021-08,90.9090909090909
jewelry making,2021-09,75.0
jewelry making,2021-10,93.18181818181819
livestreaming,2019-01,54.0
livestreaming,2019-02,22.0
livestreaming,2019-03,31.0
livestreaming,2019-04,42.0
livestreaming,2019-05,26.0
livestreaming,2019-06,39.0
livestreaming,2019-07,31.0
livestreaming,2019-08,38.0
livestreaming,2019-09,26.0
livestreaming,2019-10,28.0
livestreaming,2019-11,32.0
livestreaming,2019-12,26.0
livestreaming,2020-01,34.0
livestreaming,2020-02,22.0
livestreaming,2020-03,92.0
livestreaming,2020-04,100.0
livestreaming,2020-05,91.0
livestreaming,2020-06,64.0
livestreaming,2020-07,63.0
livestreaming,2020-08,62.0
livestreaming,2020-09,52.0
livestreaming,2020-10,47.0
livestreaming,2020-11,45.0
livestreaming,2020-12,47.0
livestreaming,2021-01,34.0
livestreaming,2021-02,43.0
livestreaming,2021-03,47.0
livestreaming,2021-04,52.0
livestreaming,2021-05,50.0
livestreaming,2021-06,32.0
livestreaming,2021-07,44.0
livestreaming,2021-08,38.0
livestreaming,2021-09,42.0
livestreaming,2021-10,22.0
lace making,2019-01,63.333333333333336
lace making,2019-02,63.333333333333336
lace making,2019-03,46.666666666666664
lace making,2019-04,63.333333333333336
lace making,2019-05,66.66666666666667
lace making,2019-06,53.333333333333336
lace making,2019-07,60.0
lace making,2019-08,56.666666666666664
lace making,2019-09,50.0
lace making,2019-10,33.333333333333336
lace making,2019-11,43.333333333333336
lace making,2019-12,50.0
lace making,2020-01,70.0
lace making,2020-02,100.0
