year_month,variable,value
2020-08,checkers,86
2020-09,checkers,76
2020-10,checkers,80
2020-11,checkers,87
2020-12,checkers,97
2021-01,checkers,91
2021-02,checkers,80
2021-03,checkers,85
2021-04,checkers,90
2021-05,checkers,88
2021-06,checkers,89
2021-07,checkers,87
2021-08,checkers,84
2021-09,checkers,81
2021-10,checkers,76
2020-03,cheerleading,36
2020-04,cheerleading,30
2020-05,cheerleading,40
2020-06,cheerleading,29
2020-07,cheerleading,28
2020-08,cheerleading,31
2020-09,cheerleading,35
2020-10,cheerleading,29
2020-11,cheerleading,20
2020-12,cheerleading,23
2021-01,cheerleading,24
2021-02,cheerleading,30
2021-03,cheerleading,29
2021-04,cheerleading,34
2021-05,cheerleading,38
2021-06,cheerleading,32
2021-07,cheerleading,37
2021-08,cheerleading,41
2021-09,cheerleading,43
2021-10,cheerleading,37
2020-03,climbing,64
2020-04,climbing,64
2020-05,climbing,72
2020-06,climbing,68
2020-07,climbing,66
2020-08,climbing,65
2020-09,climbing,66
2020-10,climbing,66
2020-11,climbing,69
2020-12,climbing,67
2021-01,climbing,63
2021-02,climbing,60
2021-03,climbing,68
2021-04,climbing,79
2021-05,climbing,80
2021-06,climbing,77
2021-07,climbing,80
2021-08,climbing,89
2021-09,climbing,70
2021-10,climbing,70
2020-03,color guard,57
2020-04,color guard,55
2020-05,color guard,47
2020-06,color guard,46
2020-07,color guard,40
2020-08,color guard,37
2020-09,color guard,46
2020-10,color guard,35
2020-11,color guard,31
2020-12,color guard,23
2021-01,color guard,40
2021-02,color guard,34
2021-03,color guard,42
2021-04,color guard,47
2021-05,color guard,51
2021-06,color guard,48
2021-07,color guard,44
2021-08,color guard,55
2021-09,color guard,61
2021-10,color guard,55
2020-03,composting,67
2020-04,composting,92
2020-05,composting,100
2020-06,composting,76
2020-07,composting,72
2020-08,composting,59
2020-09,composting,56
2020-10,composting,50
2020-11,composting,45
2020-12,composting,45
2021-01,composting,53
2021-02,composting,52
2021-03,composting,62
2021-04,composting,72
2021-05,composting,62
2021-06,composting,53
2021-07,composting,43
2021-08,composting,42
2021-09,composting,46
2021-10,composting,39
2020-03,cornhole,21
2020-04,cornhole,42
2020-05,cornhole,83
2020-06,cornhole,100
2020-07,cornhole,89
2020-08,cornhole,61
2020-09,cornhole,46
2020-10,cornhole,32
2020-11,cornhole,29
