variable,group,value
composting,2019-10,37
composting,2019-11,32
composting,2019-12,29
composting,2020-01,38
composting,2020-02,35
composting,2020-03,42
composting,2020-04,55
composting,2020-05,59
composting,2020-06,47
composting,2020-07,47
composting,2020-08,41
composting,2020-09,36
composting,2020-10,32
composting,2020-11,29
composting,2020-12,28
composting,2021-01,34
composting,2021-02,35
composting,2021-03,38
composting,2021-04,46
composting,2021-05,43
composting,2021-06,35
composting,2021-07,28
composting,2021-08,31
composting,2021-09,31
composting,2021-10,25
safari,2019-01,49
safari,2019-02,46
safari,2019-03,51
safari,2019-04,52
safari,2019-05,53
safari,2019-06,56
safari,2019-07,59
safari,2019-08,56
safari,2019-09,52
safari,2019-10,50
safari,2019-11,47
safari,2019-12,47
safari,2020-01,50
safari,2020-02,49
safari,2020-03,52
safari,2020-04,53
safari,2020-05,61
safari,2020-06,65
safari,2020-07,67
safari,2020-08,63
safari,2020-09,59
safari,2020-10,51
safari,2020-11,44
safari,2020-12,43
safari,2021-01,46
safari,2021-02,48
safari,2021-03,53
safari,2021-04,54
safari,2021-05,58
safari,2021-06,58
safari,2021-07,64
safari,2021-08,57
safari,2021-09,57
safari,2021-10,58
esports,2019-01,52
esports,2019-02,59
esports,2019-03,62
esports,2019-04,53
esports,2019-05,58
esports,2019-06,53
esports,2019-07,56
esports,2019-08,58
esports,2019-09,63
esports,2019-10,78
esports,2019-11,63
esports,2019-12,53
esports,2020-01,58
esports,2020-02,70
esports,2020-03,61
esports,2020-04,64
esports,2020-05,55
esports,2020-06,57
esports,2020-07,68
esports,2020-08,55
esports,2020-09,66
esports,2020-10,77
esports,2020-11,42
esports,2020-12,46
esports,2021-01,51
esports,2021-02,65
esports,2021-03,60
esports,2021-04,57
esports,2021-05,56
esports,2021-06,51
esports,2021-07,52
esports,2021-08,53
esports,2021-09,54
esports,2021-10,63
mineral collecting,2019-01,7
mineral collecting,2019-02,7
mineral collecting,2019-03,0
mineral collecting,2019-04,0
mineral collecting,2019-05,7
mineral collecting,2019-06,7
mineral collecting,2019-07,5
mineral collecting,2019-08,0
mineral collecting,2019-09,4
mineral collecting,2019-10,8
mineral collecting,2019-11,9
mineral collecting,2019-12,2
mineral collecting,2020-01,2
mineral collecting,2020-02,2
mineral collecting,2020-03,2
mineral collecting,2020-04,5
